Contact ID;Master;Recent Conversion;Original Source Drill-Down 2;Original Source Drill-Down 1;Original Source;IP Country;Momento
17068851;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;united arab emirates;
17068701;Machine Learning Specialist - EN;Machine Learning Specialist - Nuclio digital School: Machine Learning Specialist EN ;short_programs_en;Facebook;Paid Social;jordan;
17068401;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;united arab emirates;
17068101;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_paises2-landing_febrero;Facebook;Paid Social;united arab emirates;
17067101;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;Contactado Efectivo
17066001;;;;API;Offline Sources;;
17063851;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_paises2-landing_febrero;Facebook;Paid Social;saudi arabia;
17063651;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;jordan;Contactado Efectivo
16908001;DevOps Specialist - EN;DevOps Specialist - Nuclio digital School: DevOps Specialist EN ;short_programs_en;Facebook;Paid Social;germany;
17063551;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Descarga Catalogo Digital Product Manager EN;dpmen0320_países1-landing_febrero;Facebook;Paid Social;united kingdom;
17054601;Data Science;Máster en Data Science | la era de los Datos | Nuclio digital School: Descarga Catalogo Augmented;curso de big data;as-digital product- search;Paid Search;spain;Contactado Efectivo
17063251;Digital Marketing - EN;Online Master in Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;;nuclio.school/online-master-in-digital-marketing;Direct Traffic;latvia;Contactado Efectivo
17062801;;;FacebookMessenger;SOCIAL;Offline Sources;;
17062001;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;united arab emirates;
17062051;Digital Traffic Management;Facebook Lead Ads: DTM Abril;dtm0520_general_mayo;Facebook;Paid Social;;Contactado Efectivo
17060601;Master en UX/UI;Facebook Lead Ads: Design Sprint Form;short_programs_esp;Facebook;Paid Social;spain;
17060501;Digital Product Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;;
17060251;;¿Es mejor SEO o Influencers? - Ismael El Qudsi - Nuclio digital School: 8/05/2020 Digital Weeks - Ismael El Qudsi;GOOGLE;Unknown keywords (SSL);Organic Search;spain;
17059851;;;;API;Offline Sources;argentina;
17059451;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0620_general_abril;Facebook;Paid Social;;Contactado Efectivo
17058251;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;Entrevistado
15109201;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;Twitter;Social Media;spain;
17056951;Full Stack Development - Streaming;Facebook Lead Ads: Full Stack Form Streaming Abril;fsd0620_general-streaming_abril;Facebook;Paid Social;;Contactado Efectivo
17056701;;;Zoom Integration;INTEGRATION;Offline Sources;spain;
17056401;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;Twitter;Social Media;spain;
17054401;;Productos digitales que enganchan - Hugo Saez - Nuclio digital School: 6/05/2020 Digital Weeks - Hugo Saez;;nuclio.school/events/productos-digitales-que-enganchan-hugo-saez;Direct Traffic;spain;
17054501;Digital Traffic Management;Facebook Lead Ads: DTM Abril;uxui0620_general_marzo;Facebook;Paid Social;spain;Contactado Efectivo
17054051;;;Zoom Integration;INTEGRATION;Offline Sources;spain;
17053501;;;;API;Offline Sources;;
17053251;Digital Product Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;;
17053301;Data Science - Streaming;Facebook Lead Ads: DSC Mayo Form STR;mds0520_general-streaming_abril;Facebook;Paid Social;;Contactado Efectivo
17052901;;;;API;Offline Sources;;
17052701;;¿Es mejor SEO o Influencers? - Ismael El Qudsi - Nuclio digital School: 8/05/2020 Digital Weeks - Ismael El Qudsi;Zoom Integration;INTEGRATION;Offline Sources;spain;
17052651;;;Zoom Integration;INTEGRATION;Offline Sources;spain;
17051301;;;;API;Offline Sources;;
17050551;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;nuclio.school/events/de-la-red-social-a-casa-de-los-usuarios-ricard-castellet;Direct Traffic;spain;
17049601;;;;API;Offline Sources;;
17049351;;;;API;Offline Sources;spain;
17049251;Design Sprint Specialist;Facebook Lead Ads: Design Sprint Form;short_programs_esp;Facebook;Paid Social;;Contactado Efectivo
17048751;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;later-linkinbio-nuclioschool;Instagram;Social Media;spain;
17048551;;;;API;Offline Sources;spain;
17048451;Design Sprint Specialist;Facebook Lead Ads: Design Sprint Form;short_programs_esp;Facebook;Paid Social;;
17048101;Digital Traffic Management;Registro de Matrícula programas Nuclio School - Nuclio digital School: Formulario Matriculación Máster;trafficker  digital;long_tail_general;Paid Search;spain;Matriculado
17045251;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;Twitter;Social Media;spain;
17046251;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;spain;Trámites e-mail
17045201;Full Stack Development - Streaming;Facebook Lead Ads: Full Stack Form Streaming Abril;fsd0620_general-streaming_abril;Facebook;Paid Social;;
17043651;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;portugal;
17043901;;;;API;Offline Sources;;
17043151;Digital Product Management - EN;Digital Product Management Master - Nuclio digital School: Product EN - WEB - English Landing   ;nuclio school;global campaign branding - barcelona;Paid Search;spain;
17043051;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;united arab emirates;
18028501;Digital Product Management - EN;Meetings Link: veronica-cignoli;dpmen0320_países1-landing_febrero;Facebook;Paid Social;ireland;
17042551;B2B - Streaming;Facebook Lead Ads: B2B Junio STR ESP;dpm0520_streaming_mayo;Facebook;Paid Social;;
17041651;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;nuclio.school/;Direct Traffic;spain;
17041751;;;;API;Offline Sources;spain;
17039951;;;36503;INTEGRATION;Offline Sources;;
17039551;;;36503;INTEGRATION;Offline Sources;;
17038551;;;Zoom Integration;INTEGRATION;Offline Sources;;
17037351;Digital Marketing - EN;Facebook Lead Ads: DM Last Call Abril;dm0520_last-call_abril;Facebook;Paid Social;jordan;Contactado Efectivo
17036552;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0620_general_abril;Facebook;Paid Social;;
17036601;Digital Marketing - EN;Facebook Lead Ads: DM Last Call Abril;dm0520_last-call_abril;Facebook;Paid Social;;Contactado Efectivo
17035751;;;;API;Offline Sources;;
17035501;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;kuwait;
17035401;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;LinkedIn;Social Media;spain;
17036501;Digital Product Management - Streaming;Facebook Lead Ads: DPM Streaming Mayo;dpm0520_streaming_mayo;Facebook;Paid Social;;
17036551;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;
17033401;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países1-landing_febrero;Facebook;Paid Social;germany;Contactado Efectivo
17033351;Agile Methodologies Specialist;Facebook Lead Ads: Agile Methodologies Form;short_programs_esp;Facebook;Paid Social;spain;
17032801;Digital Traffic Management - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;Entrevistado
17032051;Data Science;Landing PPC Máster Data Science Mayo - Nuclio digital School: Descarga Catalogo Augmented;data  analyst;long_tail_general;Paid Search;spain;Entrevistado
17031251;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Product EN - WEB - English Landing   ;dpmen0320_países1-landing_febrero;Facebook;Paid Social;slovakia (slovak republic);Contactado Efectivo
17030551;;¿Es mejor SEO o Influencers? - Ismael El Qudsi - Nuclio digital School: 8/05/2020 Digital Weeks - Ismael El Qudsi;;nuclio.school/events/de-la-red-social-a-casa-de-los-usuarios-ricard-castellet;Direct Traffic;spain;
17030051;Master en UX/UI;Facebook Lead Ads: UX/UI Design Form;uxui0620_general_marzo;Facebook;Paid Social;;Contactado Efectivo
17029601;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0620_general_abril;Facebook;Paid Social;;
17029301;;;;API;Offline Sources;spain;
17029201;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;Contactado Efectivo
17028951;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;spain;Contactado Efectivo
17028801;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_paises2-landing_febrero;Facebook;Paid Social;qatar;Trámites e-mail
17028451;Python 4all;Facebook Lead Ads: Python 4all;short_programs_esp;Facebook;Paid Social;;Contactado Efectivo
17028351;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;LinkedIn;Social Media;spain;
16843101;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;poland;
17322201;Master en UX/UI - Streaming;Registro de Matrícula programas Nuclio School - Nuclio digital School: Formulario Matriculación Máster;uxui0620_streaming_mayo;Facebook;Paid Social;spain;Matriculado
17027101;DevOps Specialist - EN;DevOps Specialist - Nuclio digital School: DevOps Specialist EN ;short_programs_en;Facebook;Paid Social;latvia;
17026301;Digital Product Management - EN;Digital Product Management Master - Nuclio digital School: Descarga Catalogo Digital Product Manager EN;dpmen0320_países1-landing_febrero;Facebook;Paid Social;germany;Concertado
17025501;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;jordan;
17024851;Machine Learning Specialist - EN;Machine Learning Specialist - Nuclio digital School: Machine Learning Specialist EN ;short_programs_en;Facebook;Paid Social;kuwait;
17024701;Data Science;Facebook Lead Ads: DSC Mayo;mds0520_segmentación-test_febrero;Facebook;Paid Social;spain;Contactado Efectivo
17024201;Digital Marketing - EN;Online Master in Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;;nuclio.school/online-master-in-digital-marketing;Direct Traffic;turkey;Concertado
17023651;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;
17023051;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Mayo Streaming;dtm0520_streaming-general_mayo;Facebook;Paid Social;spain;
17022701;Python 4all;Facebook Lead Ads: Python 4all;short_programs_esp;Facebook;Paid Social;;
17022601;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;saudi arabia;Contactado Efectivo
17021801;Python 4all;Facebook Lead Ads: Python 4all;short_programs_esp;Facebook;Paid Social;;
17020651;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Mayo Streaming;dtm0520_streaming-general_mayo;Facebook;Paid Social;;
17020501;Full Stack Development - Streaming;Program Registration - Nuclio digital School: Formulario Enrollement Master EN;fsd0620_general_abril;Facebook;Paid Social;spain;
17019951;Master en UX/UI;Facebook Lead Ads: UX/UI Design Form;uxui0620_general_marzo;Facebook;Paid Social;;Contactado Efectivo
17019851;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_paises2-landing_febrero;Facebook;Paid Social;united arab emirates;Entrevistado
17019201;Data Science - Streaming;Facebook Lead Ads: DSC Abril Form - Streaming;mds0520_general-streaming_abril;Facebook;Paid Social;spain;
17018701;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;LinkedIn;Social Media;spain;
17018101;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;nuclio.school/events/de-la-red-social-a-casa-de-los-usuarios-ricard-castellet;Direct Traffic;spain;
16369701;Digital Marketing - EN;Online Master in Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;dm0520_general-landing_diciembre;Facebook;Paid Social;qatar;Contactado Efectivo
17017701;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;short_programs_en;Facebook;Paid Social;united arab emirates;Trámites e-mail
17016801;Digital Marketing - EN;Facebook Lead Ads: DM Last Call Abril;dm0520_last-call_abril;Facebook;Paid Social;mexico;Contactado Efectivo
17016651;;;FacebookMessenger;SOCIAL;Offline Sources;;
17016101;;;;API;Offline Sources;united arab emirates;
17015951;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0620_general_abril;Facebook;Paid Social;;Concertado
17015901;Digital Marketing - EN;Facebook Lead Ads: DM Last Call Abril;dm0520_last-call_abril;Facebook;Paid Social;;
17015651;Full Stack Development;Máster Full Stack Developer - Nuclio digital School: Descarga Catalogo Fullstack;;nuclio.school/master-full-stack-developer;Direct Traffic;spain;
17015551;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;united arab emirates;
17012101;;;;API;Offline Sources;;
17011601;Full Stack Development - Streaming;Facebook Lead Ads: Full Stack Form Streaming Abril;fsd0620_general-streaming_abril;Facebook;Paid Social;;Trámites e-mail
17011551;Digital Traffic Management;Facebook Lead Ads: DTM Abril;dtm0520_general_mayo;Facebook;Paid Social;;Contactado Efectivo
17010101;Digital Product Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;;
17009201;;;Zoom Integration;INTEGRATION;Offline Sources;;
17008951;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;dm0520_general-landing_diciembre;Facebook;Paid Social;united kingdom;
17008501;Dirección de Ventas B2B;Facebook Lead Ads: DSC Abril Form;mds0520_segmentación-test_febrero;Facebook;Paid Social;;Contactado Efectivo
17008151;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Junio Streaming;dtm0520_streaming-general_mayo;Facebook;Paid Social;;
17007001;DevOps Specialist - EN;DevOps Specialist - Nuclio digital School: DevOps Specialist EN ;short_programs_en;Facebook;Paid Social;united arab emirates;Contactado Efectivo
17006551;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;mexico;
17006651;;;36503;INTEGRATION;Offline Sources;;
17006601;;;EMAIL_INTEGRATION;SALES;Offline Sources;spain;
17005951;Full Stack Development - Streaming;Facebook Lead Ads: FSD Form STR;dtm0520_streaming-general_mayo;Facebook;Paid Social;;Trámites e-mail
17005701;DevOps Specialist - EN;DevOps Specialist - Nuclio digital School: DevOps Specialist EN ;short_programs_en;Facebook;Paid Social;saudi arabia;
17005001;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;LinkedIn;Social Media;spain;
17003151;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;;Instagram;Social Media;saudi arabia;
17002851;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0620_general_abril;Facebook;Paid Social;spain;Contactado Efectivo
17001801;Digital Traffic Management;Meetings Link: irene-safer;dtm0520_general_mayo;Facebook;Paid Social;spain;Trámites e-mail
17001751;;EVENTO ONLINE | Crea un motor de recomendación usando Machine Learning - Nuclio digital School: 9/06/2020 Evento Online CaixaBank;;API;Offline Sources;ireland;
17001451;Master en UX/UI;Bootcamp UX/UI design - programas Nuclio digital School: Descarga Catalogo UX/UI;nuclio digital school;global campaign branding - barcelona;Paid Search;spain;Contactado Efectivo
17000601;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;bootcamp  barcelona;long_tail_general;Paid Search;spain;
16999501;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países1-landing_febrero;Facebook;Paid Social;russian federation;Matrícula enviada
16999801;Full Stack Development - Streaming;Facebook Lead Ads: Full Stack Form Abril;fsd0620_general_abril;Facebook;Paid Social;;
16999351;;Productos digitales que enganchan - Hugo Saez - Nuclio digital School: 6/05/2020 Digital Weeks - Hugo Saez;;LinkedIn;Social Media;spain;
16999301;;Productos digitales que enganchan - Hugo Saez - Nuclio digital School: 6/05/2020 Digital Weeks - Hugo Saez;;nuclio.school/events/productos-digitales-que-enganchan-hugo-saez;Direct Traffic;greece;
16999151;Digital Traffic Management - Streaming;Facebook Lead Ads: DTM Mayo Streaming;dtm0520_streaming-general_mayo;Facebook;Paid Social;spain;
16998851;;;;API;Offline Sources;;
16998601;;Productos digitales que enganchan - Hugo Saez - Nuclio digital School: 6/05/2020 Digital Weeks - Hugo Saez;;LinkedIn;Social Media;spain;
16998351;Master en UX/UI;Facebook Lead Ads: UX/UI Design Form;uxui0620_general_marzo;Facebook;Paid Social;;Contactado Efectivo
16997401;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;united arab emirates;Contactado Efectivo
16997451;Agile Methodologies Specialist;Facebook Lead Ads: Agile Methodologies Form;short_programs_esp;Facebook;Paid Social;;
16996851;Agile Methodologies Specialist;Facebook Lead Ads: Agile Methodologies Form;short_programs_esp;Facebook;Paid Social;spain;
16880201;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;jordan;
16995951;;;;API;Offline Sources;;
16995001;;Productos digitales que enganchan - Hugo Saez - Nuclio digital School: 6/05/2020 Digital Weeks - Hugo Saez;;nuclio.school/events/productos-digitales-que-enganchan-hugo-saez;Direct Traffic;spain;
16993651;Python 4all;Facebook Lead Ads: Python 4all;short_programs_esp;Facebook;Paid Social;spain;
16992751;;¿Es mejor SEO o Influencers? - Ismael El Qudsi - Nuclio digital School: 8/05/2020 Digital Weeks - Ismael El Qudsi;;nuclio.school/events/de-la-red-social-a-casa-de-los-usuarios-ricard-castellet;Direct Traffic;spain;
16890551;Digital Product Management - EN;Digital Product Management Master - Nuclio digital School: Descarga Catalogo Digital Product Manager EN;;nuclio.school/digital-product-management-intensive-master;Direct Traffic;andorra;
16991901;Digital Marketing - EN;Meetings Link: jordi-tena;dm0520_general-landing_diciembre;Facebook;Paid Social;denmark;Concertado
16991301;Full Stack Development;;CRM_UI;CONTACTS;Offline Sources;;
16991201;;;;API;Offline Sources;;
16990151;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;Entrevistado
16989901;;;;API;Offline Sources;spain;
16989751;Digital Traffic Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;;
16989801;Digital Product Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;spain;Contactado Efectivo
16989351;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;
16988501;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;Contactado Efectivo
16987951;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países-landing_febrero;Facebook;Paid Social;turkey;Contactado Efectivo
16987301;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;united arab emirates;Entrevistado
16987201;Digital Product Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;spain;Contactado Efectivo
16986901;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;LinkedIn;Social Media;spain;
16986851;Python 4all;Facebook Lead Ads: Python 4all;short_programs_esp;Facebook;Paid Social;;Contactado Efectivo
16986651;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;south africa;Contactado Efectivo
16986301;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Product EN - WEB - English Landing   ;dpmen0320_países1-landing_febrero;Facebook;Paid Social;germany;Entrevistado
16986451;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;
16986051;Digital Product Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;spain;Contactado Efectivo
16212551;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;;nuclio.school/corporate-programs;Direct Traffic;germany;
16985701;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;jordan;
16985551;DevOps Specialist - EN;DevOps Specialist - Nuclio digital School: DevOps Specialist EN ;short_programs_en;Facebook;Paid Social;united arab emirates;
16985351;Digital Traffic Management;Máster Digital Traffic Management - PPC - Nuclio digital School: Máster Traffic Management - Landing PPC ;marketing digital;as-digital product- search;Paid Search;spain;Contactado Efectivo
16984351;Full Stack Development - Streaming;Facebook Lead Ads: Full Stack Form Streaming Abril;fsd0620_general-streaming_abril;Facebook;Paid Social;;Contactado Efectivo
16983751;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing ;dm0520_general-landing_diciembre;Facebook;Paid Social;ireland;
16983801;Master en UX/UI;Bootcamp UX/UI design - programas Nuclio digital School: Máster UI/UX;;nuclio.school/bootcamp-ux-ui-design;Direct Traffic;jordan;
16983201;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;saudi arabia;
16982651;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmeng0220_audiencias-landing_diciembre;Facebook;Paid Social;jordan;
16982451;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;netherlands;
16982201;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;united states;
16982001;Full Stack Development;Facebook Lead Ads: Full Stack Form Abril;fsd0620_general_abril;Facebook;Paid Social;spain;Contactado Efectivo
16981901;Digital Traffic Management;Máster Digital Traffic Management - PPC - Nuclio digital School: Máster Traffic Management - Landing PPC ;influencers;long_tail_general;Paid Search;spain;Contactado Efectivo
16981801;Cybersecurity Specialist - EN;Cybersecurity Specialist - Nuclio digital School: Cybersecurity Specialist EN ;short_programs_en;Facebook;Paid Social;qatar;
16981501;Agile Methodologies Specialist;Facebook Lead Ads: Agile Methodologies Form;short_programs_esp;Facebook;Paid Social;;
16980801;Digital Traffic Management;Máster Digital Traffic Management - PPC - Nuclio digital School: Máster Traffic Management - Landing PPC ;influencers;long_tail_general;Paid Search;spain;
16979951;Data Science;Facebook Lead Ads: DSC Abril;mds0520_segmentación-test_febrero;Facebook;Paid Social;spain;
16979351;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Product EN - WEB - English Landing   ;dpmen0320_países1-landing_febrero;Facebook;Paid Social;netherlands;Trámites e-mail
16979501;Digital Product Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;netherlands;
16978851;Full Stack Development - Streaming;Registro de Matrícula programas Nuclio School - Nuclio digital School: Formulario Matriculación Máster;fsd0620_general_abril;Facebook;Paid Social;spain;Matriculado
16978251;;¿Es mejor SEO o Influencers? - Ismael El Qudsi - Nuclio digital School: 8/05/2020 Digital Weeks - Ismael El Qudsi;;LinkedIn;Social Media;spain;
16978301;Full Stack Development - Streaming;Facebook Lead Ads: Full Stack Form Streaming Abril;fsd0620_general-streaming_abril;Facebook;Paid Social;spain;
16977901;Python 4all;Facebook Lead Ads: Full Stack Form Abril;fsd0620_general_abril;Facebook;Paid Social;spain;Contactado Efectivo
16977551;Digital Marketing - EN;Landing PPC Digital Marketing - Nuclio digital School: Digital Marketing EN - English Landing PPC;dm0520_general-landing_diciembre;Facebook;Paid Social;united arab emirates;Contactado Efectivo
16976001;Master en UX/UI;Facebook Lead Ads: UX/UI Design Form;facebook organic lead;Facebook;Paid Social;ecuador;
16975101;Data Science - Streaming;Facebook Lead Ads: DSC Abril Form - Streaming;mds0520_general-streaming_abril;Facebook;Paid Social;spain;
13049351;;De la Red Social a casa de los usuarios - Ricard Castellet - Nuclio digital School: 7/05/2020 Digital Weeks - Ricard Castellet;;nuclio.school/blog/digital-product-management-por-jordi-nuno;Direct Traffic;spain;
16974051;Master en UX/UI - Streaming;Facebook Lead Ads: UX/UI Design Streaming - Abril;uxui0620_streaming_mayo;Facebook;Paid Social;;Contactado Efectivo
16972851;Digital Product Management - EN;Landing PPC Digital Product Management - EN - Nuclio digital School: Digital Product Management EN - English Landing PPC;dpmen0320_países1-landing_febrero;Facebook;Paid Social;russian federation;
16974101;Digital Product Management;Facebook Lead Ads: DPM Form Abril;dpm0520_intereses_marzo;Facebook;Paid Social;;
16970901;;¿Es mejor SEO o Influencers? - Ismael El Qudsi - Nuclio digital School: 8/05/2020 Digital Weeks - Ismael El Qudsi;;nuclio.school/events/es-mejor-seo-o-influencers-ismael-el-qudsi;Direct Traffic;mexico;
16974052;Digital Marketing - EN;Facebook Lead Ads: DM Last Call Abril;dm0520_last-call_abril;Facebook;Paid Social;ireland;
16974001;Master en UX/UI - Streaming;Program Registration - Nuclio digital School: Formulario Enrollement Master EN;uxui0620_general_marzo;Facebook;Paid Social;spain;Matriculado
